"Percent Total","Domain","Owner","Owner Country","Owner Lineage"
"44.0","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"42.0","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"40.0","google.com","Google","US","Google > Alphabet "
"38.0","google.es","Google","US","Google > Alphabet "
"34.0","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"34.0","gstatic.com","Google","US","Google > Alphabet "
"28.0","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"26.0","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"24.0","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"24.0","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"20.0","adnxs.com","AppNexus","US","AppNexus "
"20.0","criteo.net","Criteo","FR","Criteo "
"18.0","criteo.com","Criteo","FR","Criteo "
"18.0","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"18.0","smartadserver.com","Smart AdServer","FR","Smart AdServer "
"16.0","facebook.com","Facebook","US","Facebook "
"16.0","facebook.net","Facebook","US","Facebook "
"16.0","rubiconproject.com","Rubicon Project","US","Rubicon Project "
"14.0","richaudience.com","Unknown","",""
"12.0","chartbeat.com","Chartbeat","US","Chartbeat "
"12.0","chartbeat.net","Chartbeat","US","Chartbeat "
"12.0","privacy-center.org","Unknown","",""
"10.0","ampproject.org","Unknown","",""
"10.0","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"8.0","360yield.com","Improve Digital","NL","Improve Digital "
"8.0","cloudflare.com","Cloudflare","US","Cloudflare "
"8.0","consensu.org","Unknown","",""
"8.0","everesttech.net","Adobe Systems","US","Adobe Systems "
"8.0","twitter.com","Twitter","US","Twitter "
"6.0","adobedtm.com","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"6.0","akamaized.net","Akamai","US","Akamai "
"6.0","alexametrics.com","Alexa","US","Alexa > Amazon "
"6.0","bootstrapcdn.com","StackPath","US","StackPath "
"6.0","casalemedia.com","Index Exchange","CA","Index Exchange "
"6.0","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"6.0","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","krxd.net","Krux Digital","US","Krux Digital > Salesforce "
"6.0","omtrdc.net","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"6.0","youtube.com","YouTube","US","YouTube > Google > Alphabet "
"6.0","ytimg.com","YouTube","US","YouTube > Google > Alphabet "
"4.0","ad6.fr","Unknown","",""
"4.0","ad6media.fr","Unknown","",""
"4.0","adsrvr.org","The Trade Desk","US","The Trade Desk "
"4.0","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
