"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"40.0","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"28.0","https://stats.g.doubleclick.net/r/collect","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"28.0","https://www.google-analytics.com/r/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"26.0","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"26.0","https://adservice.google.es/adsid/integrator.js","js","javascript","google.es","Google","US","Google > Alphabet "
"24.0","https://fonts.googleapis.com/css","","","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"22.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019121002.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"22.0","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"20.0","https://c.amazon-adsystem.com/aax2/apstag.js","js","javascript","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"20.0","https://c.amazon-adsystem.com/bao-csm/aps-comm/aps_csm.js","js","javascript","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"18.0","https://bidder.criteo.com/cdb","","","criteo.com","Criteo","FR","Criteo "
"18.0","https://ib.adnxs.com/ut/v3/prebid","","","adnxs.com","AppNexus","US","AppNexus "
"18.0","https://prg.smartadserver.com/prebid/v1","","","smartadserver.com","Smart AdServer","FR","Smart AdServer "
"18.0","https://sb.scorecardresearch.com/b","","","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"18.0","https://sb.scorecardresearch.com/b2","","","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"18.0","https://static.criteo.net/js/ld/publishertag.prebid.js","js","javascript","criteo.net","Criteo","FR","Criteo "
"18.0","https://www.google-analytics.com/collect","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"18.0","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"16.0","https://fastlane.rubiconproject.com/a/api/fastlane.json","json","data_structured","rubiconproject.com","Rubicon Project","US","Rubicon Project "
"16.0","https://fonts.gstatic.com/s/roboto/v20/KFOmCnqEu92Fr1Mu4mxK.woff2","woff2","","gstatic.com","Google","US","Google > Alphabet "
"16.0","https://tpc.googlesyndication.com/safeframe/1-0-37/html/container.html","html","page_static","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"16.0","https://www.google.com/ads/ga-audiences","","","google.com","Google","US","Google > Alphabet "
"16.0","https://www.google.es/ads/ga-audiences","","","google.es","Google","US","Google > Alphabet "
"16.0","https://www.googletagmanager.com/gtag/js","","","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"16.0","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"14.0","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"14.0","https://securepubads.g.doubleclick.net/gampad/ads","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"14.0","https://shb.richaudience.com/hb/","","","richaudience.com","Unknown","",""
"12.0","https://ping.chartbeat.net/ping","","","chartbeat.net","Chartbeat","US","Chartbeat "
"12.0","https://securepubads.g.doubleclick.net/pcs/view","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"10.0","https://acdn.adnxs.com/ib/static/usersync/v3/async_usersync.html","html","page_static","adnxs.com","AppNexus","US","AppNexus "
"10.0","https://cdn.ampproject.org/rtv/011912050130240/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"10.0","https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmEU9fBBc4.woff2","woff2","","gstatic.com","Google","US","Google > Alphabet "
"10.0","https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmWUlfBBc4.woff2","woff2","","gstatic.com","Google","US","Google > Alphabet "
"10.0","https://sb.scorecardresearch.com/beacon.js","js","javascript","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"10.0","https://sdk-gcp.privacy-center.org/sdk.ae8c8a7d97245f7c079877d93422389200531613.js","js","javascript","privacy-center.org","Unknown","",""
"10.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019121002.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"10.0","https://tpc.googlesyndication.com/pagead/imgad","","","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"10.0","https://www.facebook.com/tr/","","","facebook.com","Facebook","US","Facebook "
"8.0","https://c.amazon-adsystem.com/e/dtb/bid","","","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"8.0","https://cdn.ampproject.org/rtv/011912050130240/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"8.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"8.0","https://eus.rubiconproject.com/usync.html","html","page_static","rubiconproject.com","Rubicon Project","US","Rubicon Project "
"8.0","https://mab.chartbeat.com/mab_strategy/headline_testing/get_strategy/","","","chartbeat.com","Chartbeat","US","Chartbeat "
"8.0","https://pagead2.googlesyndication.com/pcs/activeview","","","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"8.0","https://platform.twitter.com/widgets.js","js","javascript","twitter.com","Twitter","US","Twitter "
"8.0","https://platform.twitter.com/widgets/widget_iframe.4f8aea4342a4ada72cba2bdffcff6b4d.html","html","page_static","twitter.com","Twitter","US","Twitter "
"8.0","https://sdk-gcp.privacy-center.org/ui-en.ae8c8a7d97245f7c079877d93422389200531613.js","js","javascript","privacy-center.org","Unknown","",""
"8.0","https://sdk.privacy-center.org/loader.js","js","javascript","privacy-center.org","Unknown","",""
"8.0","https://static.chartbeat.com/js/chartbeat.js","js","javascript","chartbeat.com","Chartbeat","US","Chartbeat "
"8.0","https://static.chartbeat.com/js/chartbeat_mab.js","js","javascript","chartbeat.com","Chartbeat","US","Chartbeat "
"6.0","https://as-sec.casalemedia.com/cygnus","","","casalemedia.com","Index Exchange","CA","Index Exchange "
"6.0","https://beacon.krxd.net/optout_check","","","krxd.net","Krux Digital","US","Krux Digital > Salesforce "
"6.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-ad-exit-0.1.js","js","javascript","ampproject.org","Unknown","",""
"6.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-fit-text-0.1.js","js","javascript","ampproject.org","Unknown","",""
"6.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-form-0.1.js","js","javascript","ampproject.org","Unknown","",""
"6.0","https://cdn.krxd.net/ctjs/controltag.js.05f9d0dad02f8a1b0b028b868bc3a3e2","05f9d0dad02f8a1b0b028b868bc3a3e2","","krxd.net","Krux Digital","US","Krux Digital > Salesforce "
"6.0","https://cdn.krxd.net/partnerjs/xdi/proxy.3d2100fd7107262ecb55ce6847f01fa5.html","html","page_static","krxd.net","Krux Digital","US","Krux Digital > Salesforce "
"6.0","https://certify.alexametrics.com/atrk.gif","gif","image","alexametrics.com","Alexa","US","Alexa > Amazon "
"6.0","https://cm.everesttech.net/cm/dd","","","everesttech.net","Adobe Systems","US","Adobe Systems "
"6.0","https://dpm.demdex.net/id","","","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"6.0","https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmSU5fBBc4.woff2","woff2","","gstatic.com","Google","US","Google > Alphabet "
"6.0","https://googleads.g.doubleclick.net/pagead/drt/si","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"6.0","https://ib.adnxs.com/getuid","","","adnxs.com","AppNexus","US","AppNexus "
"6.0","https://ice.360yield.com/hb","","","360yield.com","Improve Digital","NL","Improve Digital "
"6.0","https://ice.360yield.com/ul_cb/hb","","","360yield.com","Improve Digital","NL","Improve Digital "
"6.0","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://securepubads.g.doubleclick.net/pagead/adview","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"6.0","https://securepubads.g.doubleclick.net/tag/js/gpt.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"6.0","https://sync.richaudience.com/dcf3528a0b8aa83634892d50e91c306e/","","","richaudience.com","Unknown","",""
"6.0","https://tpc.googlesyndication.com/pagead/images/adchoices/es.png","png","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://tpc.googlesyndication.com/pagead/images/adchoices/icon.png","png","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://www.google-analytics.com/gtm/js","","","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"6.0","https://www.google-analytics.com/plugins/ua/ec.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"6.0","https://www.google.com/ads/measurement/l","","","google.com","Google","US","Google > Alphabet "
"6.0","https://www.google.com/pagead/drt/ui","","","google.com","Google","US","Google > Alphabet "
"6.0","https://www.googleadservices.com/pagead/conversion_async.js","js","javascript","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://www.googletagservices.com/activeview/js/current/osd_listener.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"4.0","https://aax-eu.amazon-adsystem.com/s/iu3","","","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"4.0","https://accounts.google.com/ServiceLogin","","","google.com","Google","US","Google > Alphabet "
"4.0","https://ad.360yield.com/match","","","360yield.com","Improve Digital","NL","Improve Digital "
"4.0","https://audit.quantcast.mgr.consensu.org/","","","consensu.org","Unknown","",""
"4.0","https://bidder.criteo.com/csm","","","criteo.com","Criteo","FR","Criteo "
"4.0","https://c.ad6media.fr/fo4.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/lm.png","png","image","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/mpre1.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/1.native.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/base.native.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/fonts/Montserrat-SemiBold.woff2","woff2","","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/iab.native.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/images/sprites.svg","svg","image","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/nf.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://cdn.insurads.com/tg-1.1.85.js","js","javascript","insurads.com","Unknown","",""
"4.0","https://cm.g.doubleclick.net/pixel","","","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"4.0","https://components.unidadeditorial.es/visual/sports/ueSportEventsCarousel/v2/ue-sport-events-carousel.html","html","page_static","unidadeditorial.es","Unknown","",""
"4.0","https://connect.facebook.net/en_US/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"4.0","https://contributor.google.com/scripts/390bb73beea1e4b2/loader.js","js","javascript","google.com","Google","US","Google > Alphabet "
"4.0","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"4.0","https://dmpcdn.el-mundo.net/cdn/libtrc/tfa.js","js","javascript","el-mundo.net","Unknown","",""
"4.0","https://dmx.districtm.io/b/v1","","","districtm.io","Unknown","",""
