"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"6.0","https://certify.alexametrics.com/atrk.gif","gif","image","alexametrics.com","Alexa","US","Alexa > Amazon "
"6.0","https://tpc.googlesyndication.com/pagead/images/adchoices/es.png","png","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://tpc.googlesyndication.com/pagead/images/adchoices/icon.png","png","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"4.0","https://c.ad6media.fr/lm.png","png","image","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/images/sprites.svg","svg","image","ad6media.fr","Unknown","",""
"4.0","https://e00-marca.uecdn.es/assets/v12/img/svg/iconsvg/down-a.svg","svg","image","uecdn.es","Unknown","",""
"4.0","https://images-na.ssl-images-amazon.com/images/G/01/authportal/common/images/amznbtn-sprite03._CB395592492_.png","png","image","ssl-images-amazon.com","Amazon","US","Amazon "
"4.0","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/cs/css/images/amznbtn-sprite03._CB387356454_.png","png","image","ssl-images-amazon.com","Amazon","US","Amazon "
"4.0","https://img.tradedoubler.com/images/inv.gif","gif","image","tradedoubler.com","Tradedoubler","SE","Tradedoubler "
"4.0","https://m.media-amazon.com/images/G/01/AUIClients/AmazonGatewayAuiAssets-gw_sprite_desktop-25075f36f083535bad9a2e0edabbb339435e8e65._V2_.png","png","image","media-amazon.com","Unknown","",""
"4.0","https://m.media-amazon.com/images/G/01/AUIClients/AmazonUICarousel-arrows-c495a9b59afd9b35a08c12513d40b8c7e7771499._V2_.png","png","image","media-amazon.com","Unknown","",""
"4.0","https://m.media-amazon.com/images/G/01/AUIClients/AmazonUISpinner-spinner_gray_2x-305997434ebd5a72cd3aa598a019fcc6e1efe23a._V2_.gif","gif","image","media-amazon.com","Unknown","",""
"4.0","https://ssl.gstatic.com/gb/images/i1_1967ca6a.png","png","image","gstatic.com","Google","US","Google > Alphabet "
"4.0","https://style2.ad6.fr/img/fe/fes.png","png","image","ad6.fr","Unknown","",""
