"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"40.0","https://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"26.0","https://adservice.google.com/adsid/integrator.js","js","javascript","google.com","Google","US","Google > Alphabet "
"26.0","https://adservice.google.es/adsid/integrator.js","js","javascript","google.es","Google","US","Google > Alphabet "
"22.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019121002.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"22.0","https://www.googletagservices.com/tag/js/gpt.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"20.0","https://c.amazon-adsystem.com/aax2/apstag.js","js","javascript","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"20.0","https://c.amazon-adsystem.com/bao-csm/aps-comm/aps_csm.js","js","javascript","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"18.0","https://static.criteo.net/js/ld/publishertag.prebid.js","js","javascript","criteo.net","Criteo","FR","Criteo "
"18.0","https://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"16.0","https://www.googletagservices.com/activeview/js/current/osd.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"14.0","https://connect.facebook.net/en_US/fbevents.js","js","javascript","facebook.net","Facebook","US","Facebook "
"10.0","https://cdn.ampproject.org/rtv/011912050130240/amp4ads-host-v0.js","js","javascript","ampproject.org","Unknown","",""
"10.0","https://sb.scorecardresearch.com/beacon.js","js","javascript","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"10.0","https://sdk-gcp.privacy-center.org/sdk.ae8c8a7d97245f7c079877d93422389200531613.js","js","javascript","privacy-center.org","Unknown","",""
"10.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019121002.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"8.0","https://cdn.ampproject.org/rtv/011912050130240/amp4ads-v0.js","js","javascript","ampproject.org","Unknown","",""
"8.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-analytics-0.1.js","js","javascript","ampproject.org","Unknown","",""
"8.0","https://platform.twitter.com/widgets.js","js","javascript","twitter.com","Twitter","US","Twitter "
"8.0","https://sdk-gcp.privacy-center.org/ui-en.ae8c8a7d97245f7c079877d93422389200531613.js","js","javascript","privacy-center.org","Unknown","",""
"8.0","https://sdk.privacy-center.org/loader.js","js","javascript","privacy-center.org","Unknown","",""
"8.0","https://static.chartbeat.com/js/chartbeat.js","js","javascript","chartbeat.com","Chartbeat","US","Chartbeat "
"8.0","https://static.chartbeat.com/js/chartbeat_mab.js","js","javascript","chartbeat.com","Chartbeat","US","Chartbeat "
"6.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-ad-exit-0.1.js","js","javascript","ampproject.org","Unknown","",""
"6.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-fit-text-0.1.js","js","javascript","ampproject.org","Unknown","",""
"6.0","https://cdn.ampproject.org/rtv/011912050130240/v0/amp-form-0.1.js","js","javascript","ampproject.org","Unknown","",""
"6.0","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://securepubads.g.doubleclick.net/tag/js/gpt.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"6.0","https://www.google-analytics.com/plugins/ua/ec.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"6.0","https://www.googleadservices.com/pagead/conversion_async.js","js","javascript","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"6.0","https://www.googletagservices.com/activeview/js/current/osd_listener.js","js","javascript","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"4.0","https://c.ad6media.fr/fo4.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/mpre1.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/1.native.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/base.native.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/iab.native.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://c.ad6media.fr/nf/nf.js","js","javascript","ad6media.fr","Unknown","",""
"4.0","https://cdn.insurads.com/tg-1.1.85.js","js","javascript","insurads.com","Unknown","",""
"4.0","https://connect.facebook.net/en_US/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"4.0","https://contributor.google.com/scripts/390bb73beea1e4b2/loader.js","js","javascript","google.com","Google","US","Google > Alphabet "
"4.0","https://d31qbv1cthcecs.cloudfront.net/atrk.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
