"Percentage Pages Tracked","Owner","Owner Country","Owner Lineage"
"66.0","Alphabet","US","Alphabet "
"66.0","Google","US","Google > Alphabet "
"50.0","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"44.0","DoubleClick","US","DoubleClick > Google > Alphabet "
"42.0","Google Analytics","US","Google Analytics > Google > Alphabet "
"32.0","Amazon","US","Amazon "
"26.0","Google APIs","US","Google APIs > Google > Alphabet "
"24.0","AdSense","US","AdSense > Google > Alphabet "
"24.0","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"20.0","AppNexus","US","AppNexus "
"20.0","Criteo","FR","Criteo "
"20.0","Facebook","US","Facebook "
"18.0","comScore","US","comScore "
"18.0","ScorecardResearch","US","ScorecardResearch > comScore "
"18.0","Smart AdServer","FR","Smart AdServer "
"16.0","Rubicon Project","US","Rubicon Project "
"12.0","Adobe Systems","US","Adobe Systems "
"12.0","Amazon Web Services","US","Amazon Web Services > Amazon "
"12.0","Chartbeat","US","Chartbeat "
"10.0","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"8.0","Cloudflare","US","Cloudflare "
"8.0","Improve Digital","NL","Improve Digital "
"8.0","Microsoft","US","Microsoft "
"8.0","Oath","US","Oath > Verizon "
"8.0","Twitter","US","Twitter "
"8.0","Verizon","US","Verizon "
"8.0","Yahoo","US","Yahoo > Oath > Verizon "
"8.0","YouTube","US","YouTube > Google > Alphabet "
"6.0","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"6.0","Akamai","US","Akamai "
"6.0","Alexa","US","Alexa > Amazon "
"6.0","Automattic","US","Automattic "
"6.0","Index Exchange","CA","Index Exchange "
"6.0","Krux Digital","US","Krux Digital > Salesforce "
"6.0","Oracle","US","Oracle "
"6.0","Salesforce","US","Salesforce "
"6.0","StackPath","US","StackPath "
"4.0","Amobee","US","Amobee > Singtel "
"4.0","Aol","US","Aol > Oath > Verizon "
"4.0","Bidswitch","UK","Bidswitch > IPONWEB "
"4.0","Hotjar","MT","Hotjar "
"4.0","IPONWEB","UK","IPONWEB "
"4.0","jsDelivr","US","jsDelivr > Prospect One "
"4.0","Moat","US","Moat > Oracle "
"4.0","New Relic","US","New Relic "
"4.0","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"4.0","OpenX","US","OpenX "
"4.0","Outbrain","US","Outbrain "
"4.0","Prospect One","US","Prospect One "
"4.0","PubMatic","US","PubMatic "
"4.0","Singtel","SG","Singtel "
"4.0","Taboola","US","Taboola "
"4.0","Tealium","US","Tealium "
"4.0","The Trade Desk","US","The Trade Desk "
"4.0","Tradedoubler","SE","Tradedoubler "
"4.0","Wordpress","US","Wordpress > Automattic "
"2.0","Adconion Media Group","US","Adconion Media Group > Amobee > Singtel "
"2.0","AddThis","US","AddThis > Oracle "
"2.0","AdForm","DK","AdForm "
"2.0","Adition Technologies","DE","Adition Technologies "
"2.0","Alibaba","CN","Alibaba "
"2.0","Amplitude","US","Amplitude "
"2.0","Apple","US","Apple "
"2.0","Awempire","LU","Awempire "
"2.0","Beeswax","US","Beeswax "
"2.0","Bing","US","Bing > Microsoft "
"2.0","Blinkx","US","Blinkx > RhythmOne "
"2.0","Blogger","US","Blogger > Google > Alphabet "
"2.0","Blue Kai","US","Blue Kai > Oracle "
"2.0","Comcast","US","Comcast "
"2.0","Conversant Media","US","Conversant Media "
"2.0","Crazy Egg","US","Crazy Egg "
"2.0","Dotomi","US","Dotomi > Conversant Media "
"2.0","Dynadmic","FR","Dynadmic "
"2.0","exoClick","ES","exoClick "
"2.0","Eyeview","US","Eyeview "
"2.0","Fastly","US","Fastly "
"2.0","Flashtalking","US","Flashtalking "
"2.0","Gigya","US","Gigya "
"2.0","Google App Engine","US","Google App Engine > Google > Alphabet "
"2.0","Gravatar","US","Gravatar > Automattic "
"2.0","GTCR","US","GTCR "
"2.0","Integral Ad Science","US","Integral Ad Science "
"2.0","jQuery Foundation","US","jQuery Foundation "
"2.0","LinkedIn","US","LinkedIn "
"2.0","Lotame","US","Lotame "
"2.0","Marimedia","IL","Marimedia "
"2.0","Media Math","US","Media Math "
"2.0","Media.net","US","Media.net "
"2.0","PopAds","?","PopAds "
"2.0","Quantcast","US","Quantcast "
"2.0","RhythmOne","US","RhythmOne "
"2.0","Share This","US","Share This "
"2.0","simpli.fi","US","simpli.fi > GTCR "
"2.0","Spot X Change","US","Spot X Change "
"2.0","StickyADS.tv","US","StickyADS.tv > Comcast "
"2.0","Taptica","US","Taptica > Marimedia "
"2.0","Tremor Video","US","Tremor Video > Taptica > Marimedia "
"2.0","Turn","US","Turn > Amobee > Singtel "
